Stock,"Market Cap","Current Price","High / Low","Stock P/E","Book Value","Dividend Yield",ROCE,ROE,"Face Value"
VOLTAMP,"8,930","8,826","9,110",30.8,"1,152",0.43,25.1,19.2,10.0
HUDCO,"41,690",208,227,20.2,78.6,1.87,8.81,11.4,10.0
MOL,"2,556",100,104,,62.6,1.35,18.2,16.2,1.00
SYNGENE,"29,649",738,860,62.5,95.4,0.07,15.0,13.6,10.0
TATACOMM,"51,964","1,823","1,957",91.3,342,1.15,12.4,8.60,10.0
BPCL,"1,31,337",605,688,4.38,324,3.46,7.12,5.76,10.0
SONATSOFTW,"23,094",824,866,67.6,21.9,0.94,43.8,39.2,1.00
JBCHEPHARM,"25,545","1,646","1,940",50.5,173,0.55,21.7,17.0,1.00
NCC,"16,092",256,265,25.8,102,0.86,17.5,8.84,2.00
CCL,"8,512",640,750,72.1,83.3,0.86,14.6,16.1,2.00
M&M,"2,40,915","1,937","1,968",22.4,383,0.83,20.4,18.2,5.00
MARUTI,"3,61,348","11,493","11,720",30.2,"2,045",0.78,14.6,11.5,5.00
JKTYRE,"13,354",512,554,26.0,119,0.39,10.2,7.55,2.00
KOLTEPATIL,"3,799",500,585,322,108,0.79,3.39,0.38,10.0
PNCINFRA,"11,435",446,463,18.1,165,0.12,22.0,16.7,2.00
DODLA,"5,887",990,"1,084",44.4,160,0.00,13.4,11.1,10.0
RAJRATAN,"3,345",659,920,58.3,63.8,0.30,29.3,25.7,2.00
ASTRAL,"55,572","2,069","2,180",98.1,107,0.14,25.1,17.9,1.00
EPL,"6,073",191,236,34.3,28.4,2.24,20.7,24.8,2.00
JAICORPLTD,"5,928",332,424,142,75.8,0.15,4.84,0.88,1.00
TIRUMALCHM,"2,657",260,269,43.6,98.3,0.59,16.7,13.0,1.00
IRCON,"22,154",236,281,26.8,58.1,1.27,18.0,15.8,2.00
TEGA,"8,269","1,243","1,380",72.9,162,0.15,14.1,11.7,10.0
KPITTECH,"43,589","1,590","1,764",137,54.4,0.26,27.7,21.5,10.0
TECHM,"1,27,379","1,304","1,416",56.0,238,2.45,19.3,14.7,5.00
PTC,"5,963",201,255,14.9,139,3.87,9.63,8.07,10.0
JBMA,"26,104","2,208","2,428",337,85.8,0.06,12.9,12.8,2.00
TORNTPHARM,"88,971","2,629","2,700",76.3,203,0.84,17.7,16.0,5.00
BEL,"1,48,864",204,210,41.3,19.9,0.89,31.1,23.5,1.00
GLAND,"30,241","1,836","2,196",36.2,510,0.00,14.7,10.8,1.00
ZOMATO,"1,46,232",166,168,126,25.2,0.00,0.29,0.20,1.00
SULA,"4,738",561,700,48.6,65.5,0.93,19.9,18.3,2.00
FINCABLES,"14,856",971,"1,219",26.5,256,0.72,18.5,14.4,2.00
INGERRAND,"11,179","3,541","3,586",49.5,196,1.41,43.6,32.3,10.0
ANANDRATHI,"15,482","3,701","3,772",74.0,141,0.33,47.9,38.0,5.00
SWSOLAR,"13,794",592,647,,49.2,0.00,-8.34,-26.6,1.00
POWERMECH,"8,270","5,231","5,550",35.1,837,0.04,23.0,18.8,10.0
AARTIIND,"24,293",670,712,56.0,139,0.37,10.4,11.6,5.00
